scene,method,PSNR,SSIM,LPIPS,UIQM,UCIQE
set4,SeaThru-NeRF,31.663134273729828,0.8345033698960355,0.23880498268102346,1.0911967192948075,0.18056200767173233
set4,WaterSplatting,30.11303540279991,0.8453054475156885,0.23795542513069354,1.8641963647358832,0.31985186940327953
set4,SeaSplat,17.450777907120553,0.8714518703912434,0.13047620465697132,1.2103172668921929,0.30165147511586216
set4,RUSplatting,31.615527439117432,0.8758328035473824,0.20923599302768708,1.9978824553418135,0.24239782224474443
set4,UW-GS,28.341123731512774,0.8110627673174206,0.31725236342141505,1.5209771095441487,0.21929130077895453
set4,Plenodium,30.208980409722578,0.8493478549154181,0.24755010048025533,2.044657740843333,0.23824638001448645
set4,Ours (v14),33.23120684372751,0.8906130665226987,0.15861099487856814,2.474952899583607,0.25939525268191554
set5,SeaThru-NeRF,29.071820108514082,0.7349165458428232,0.23812134407068553,3.0961879820742646,0.16013635709194005
set5,WaterSplatting,27.935750007629395,0.7647148888362082,0.2107569418455425,3.7668047860140357,0.3111008694991809
set5,SeaSplat,13.268788312610827,0.7606760200701261,0.14631338319496104,2.2444063654258786,0.2185843852928477
set5,RUSplatting,29.034392105905635,0.810004606058723,0.16164108797123558,4.31883159007722,0.24247964637497543
set5,UW-GS,25.187276087309186,0.6484519188341341,0.33279496705845785,3.203772102933884,0.19461530198405788
set5,Plenodium,28.00438996365196,0.7639863836137872,0.22405776185424706,4.224294918897244,0.3060959719039642
set5,Ours (v15),31.40154948987459,0.8635886499756261,0.1035907588114864,4.027510659018575,0.17893664475180218
set8,SeaThru-NeRF,26.955073356628418,0.6695806321344877,0.32854528254584264,3.291121024080416,0.19468387169204254
set8,WaterSplatting,26.409543740121944,0.6902486964275962,0.24741636961698532,4.325703168758923,0.25547307068324276
set8,SeaSplat,13.477184471331144,0.84047521572364,0.0908847254161772,3.853759432593411,0.25309730931290525
set8,RUSplatting,28.014825318989,0.7803244951524233,0.19092275868905217,4.274175582836484,0.23719428560047784
set8,UW-GS,24.242365084196393,0.5832553678437283,0.4323268838618931,2.6609725999259037,0.2531572377322882
set8,Plenodium,26.330909026296514,0.6907226678572203,0.2601440760650133,4.077685130630959,0.26160828359810545
set8,Ours (v15),28.535348791825143,0.8014204235453355,0.17137474939227104,4.402887462471227,0.25786741693853865
